2017-05-09 16:18:14 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:14 status half-installed base-files:amd64 8+deb8u8
2017-05-09 16:18:14 status half-installed base-files:amd64 8+deb8u8
2017-05-09 16:18:14 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:14 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:14 upgrade base-passwd:amd64 3.5.37 3.5.37
2017-05-09 16:18:14 status half-configured base-passwd:amd64 3.5.37
2017-05-09 16:18:14 status unpacked base-passwd:amd64 3.5.37
2017-05-09 16:18:14 status half-installed base-passwd:amd64 3.5.37
2017-05-09 16:18:14 status half-installed base-passwd:amd64 3.5.37
2017-05-09 16:18:14 status unpacked base-passwd:amd64 3.5.37
2017-05-09 16:18:14 status unpacked base-passwd:amd64 3.5.37
2017-05-09 16:18:14 install bash:amd64 <none> 4.3-11+deb8u1
2017-05-09 16:18:14 status half-installed bash:amd64 4.3-11+deb8u1
2017-05-09 16:18:14 status unpacked bash:amd64 4.3-11+deb8u1
2017-05-09 16:18:14 status unpacked bash:amd64 4.3-11+deb8u1
2017-05-09 16:18:14 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2017-05-09 16:18:14 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2017-05-09 16:18:14 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-05-09 16:18:14 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-05-09 16:18:14 install libdebconfclient0:amd64 <none> 0.192
2017-05-09 16:18:14 status half-installed libdebconfclient0:amd64 0.192
2017-05-09 16:18:14 status unpacked libdebconfclient0:amd64 0.192
2017-05-09 16:18:14 status unpacked libdebconfclient0:amd64 0.192
2017-05-09 16:18:14 install coreutils:amd64 <none> 8.23-4
2017-05-09 16:18:14 status half-installed coreutils:amd64 8.23-4
2017-05-09 16:18:15 status unpacked coreutils:amd64 8.23-4
2017-05-09 16:18:15 status unpacked coreutils:amd64 8.23-4
2017-05-09 16:18:15 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2017-05-09 16:18:15 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2017-05-09 16:18:15 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2017-05-09 16:18:15 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2017-05-09 16:18:15 install dash:amd64 <none> 0.5.7-4+b1
2017-05-09 16:18:15 status half-installed dash:amd64 0.5.7-4+b1
2017-05-09 16:18:15 status unpacked dash:amd64 0.5.7-4+b1
2017-05-09 16:18:15 status unpacked dash:amd64 0.5.7-4+b1
2017-05-09 16:18:15 install libdb5.3:amd64 <none> 5.3.28-9
2017-05-09 16:18:15 status half-installed libdb5.3:amd64 5.3.28-9
2017-05-09 16:18:15 status unpacked libdb5.3:amd64 5.3.28-9
2017-05-09 16:18:15 status unpacked libdb5.3:amd64 5.3.28-9
2017-05-09 16:18:15 install debconf:all <none> 1.5.56
2017-05-09 16:18:15 status half-installed debconf:all 1.5.56
2017-05-09 16:18:15 status unpacked debconf:all 1.5.56
2017-05-09 16:18:15 status unpacked debconf:all 1.5.56
2017-05-09 16:18:15 install debconf-i18n:all <none> 1.5.56
2017-05-09 16:18:15 status half-installed debconf-i18n:all 1.5.56
2017-05-09 16:18:15 status unpacked debconf-i18n:all 1.5.56
2017-05-09 16:18:16 status unpacked debconf-i18n:all 1.5.56
2017-05-09 16:18:16 install debianutils:amd64 <none> 4.4+b1
2017-05-09 16:18:16 status half-installed debianutils:amd64 4.4+b1
2017-05-09 16:18:16 status unpacked debianutils:amd64 4.4+b1
2017-05-09 16:18:16 status unpacked debianutils:amd64 4.4+b1
2017-05-09 16:18:16 install diffutils:amd64 <none> 1:3.3-1+b1
2017-05-09 16:18:16 status half-installed diffutils:amd64 1:3.3-1+b1
2017-05-09 16:18:16 status unpacked diffutils:amd64 1:3.3-1+b1
2017-05-09 16:18:16 status unpacked diffutils:amd64 1:3.3-1+b1
2017-05-09 16:18:16 upgrade dpkg:amd64 1.17.27 1.17.27
2017-05-09 16:18:16 status half-configured dpkg:amd64 1.17.27
2017-05-09 16:18:16 status unpacked dpkg:amd64 1.17.27
2017-05-09 16:18:16 status half-installed dpkg:amd64 1.17.27
2017-05-09 16:18:16 status half-installed dpkg:amd64 1.17.27
2017-05-09 16:18:16 status unpacked dpkg:amd64 1.17.27
2017-05-09 16:18:16 status unpacked dpkg:amd64 1.17.27
2017-05-09 16:18:16 install e2fslibs:amd64 <none> 1.42.12-2+b1
2017-05-09 16:18:16 status half-installed e2fslibs:amd64 1.42.12-2+b1
2017-05-09 16:18:16 status unpacked e2fslibs:amd64 1.42.12-2+b1
2017-05-09 16:18:16 status unpacked e2fslibs:amd64 1.42.12-2+b1
2017-05-09 16:18:16 install e2fsprogs:amd64 <none> 1.42.12-2+b1
2017-05-09 16:18:16 status half-installed e2fsprogs:amd64 1.42.12-2+b1
2017-05-09 16:18:16 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2017-05-09 16:18:16 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2017-05-09 16:18:16 install libcomerr2:amd64 <none> 1.42.12-2+b1
2017-05-09 16:18:16 status half-installed libcomerr2:amd64 1.42.12-2+b1
2017-05-09 16:18:16 status unpacked libcomerr2:amd64 1.42.12-2+b1
2017-05-09 16:18:16 status unpacked libcomerr2:amd64 1.42.12-2+b1
2017-05-09 16:18:16 install libss2:amd64 <none> 1.42.12-2+b1
2017-05-09 16:18:16 status half-installed libss2:amd64 1.42.12-2+b1
2017-05-09 16:18:16 status unpacked libss2:amd64 1.42.12-2+b1
2017-05-09 16:18:16 status unpacked libss2:amd64 1.42.12-2+b1
2017-05-09 16:18:16 install findutils:amd64 <none> 4.4.2-9+b1
2017-05-09 16:18:16 status half-installed findutils:amd64 4.4.2-9+b1
2017-05-09 16:18:16 status unpacked findutils:amd64 4.4.2-9+b1
2017-05-09 16:18:16 status unpacked findutils:amd64 4.4.2-9+b1
2017-05-09 16:18:16 install gcc-4.8-base:amd64 <none> 4.8.4-1
2017-05-09 16:18:16 status half-installed gcc-4.8-base:amd64 4.8.4-1
2017-05-09 16:18:16 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-05-09 16:18:16 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-05-09 16:18:16 install gcc-4.9-base:amd64 <none> 4.9.2-10
2017-05-09 16:18:16 status half-installed gcc-4.9-base:amd64 4.9.2-10
2017-05-09 16:18:17 status unpacked gcc-4.9-base:amd64 4.9.2-10
2017-05-09 16:18:17 status unpacked gcc-4.9-base:amd64 4.9.2-10
2017-05-09 16:18:17 install libgcc1:amd64 <none> 1:4.9.2-10
2017-05-09 16:18:17 status half-installed libgcc1:amd64 1:4.9.2-10
2017-05-09 16:18:17 status unpacked libgcc1:amd64 1:4.9.2-10
2017-05-09 16:18:17 status unpacked libgcc1:amd64 1:4.9.2-10
2017-05-09 16:18:17 install libc-bin:amd64 <none> 2.19-18+deb8u9
2017-05-09 16:18:17 status half-installed libc-bin:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 status unpacked libc-bin:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 status unpacked libc-bin:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 upgrade libc6:amd64 2.19-18+deb8u9 2.19-18+deb8u9
2017-05-09 16:18:17 status half-configured libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 status unpacked libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 status half-installed libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 status half-installed libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 status unpacked libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 status unpacked libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 install multiarch-support:amd64 <none> 2.19-18+deb8u9
2017-05-09 16:18:17 status half-installed multiarch-support:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 status unpacked multiarch-support:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 status unpacked multiarch-support:amd64 2.19-18+deb8u9
2017-05-09 16:18:17 install grep:amd64 <none> 2.20-4.1
2017-05-09 16:18:17 status half-installed grep:amd64 2.20-4.1
2017-05-09 16:18:18 status unpacked grep:amd64 2.20-4.1
2017-05-09 16:18:18 status unpacked grep:amd64 2.20-4.1
2017-05-09 16:18:18 install gzip:amd64 <none> 1.6-4
2017-05-09 16:18:18 status half-installed gzip:amd64 1.6-4
2017-05-09 16:18:18 status unpacked gzip:amd64 1.6-4
2017-05-09 16:18:18 status unpacked gzip:amd64 1.6-4
2017-05-09 16:18:18 install hostname:amd64 <none> 3.15
2017-05-09 16:18:18 status half-installed hostname:amd64 3.15
2017-05-09 16:18:18 status unpacked hostname:amd64 3.15
2017-05-09 16:18:18 status unpacked hostname:amd64 3.15
2017-05-09 16:18:18 install init:amd64 <none> 1.22
2017-05-09 16:18:18 status half-installed init:amd64 1.22
2017-05-09 16:18:18 status unpacked init:amd64 1.22
2017-05-09 16:18:18 status unpacked init:amd64 1.22
2017-05-09 16:18:18 install insserv:amd64 <none> 1.14.0-5
2017-05-09 16:18:18 status half-installed insserv:amd64 1.14.0-5
2017-05-09 16:18:18 status unpacked insserv:amd64 1.14.0-5
2017-05-09 16:18:18 status unpacked insserv:amd64 1.14.0-5
2017-05-09 16:18:18 install libkmod2:amd64 <none> 18-3
2017-05-09 16:18:18 status half-installed libkmod2:amd64 18-3
2017-05-09 16:18:18 status unpacked libkmod2:amd64 18-3
2017-05-09 16:18:18 status unpacked libkmod2:amd64 18-3
2017-05-09 16:18:18 install libcap2:amd64 <none> 1:2.24-8
2017-05-09 16:18:18 status half-installed libcap2:amd64 1:2.24-8
2017-05-09 16:18:18 status unpacked libcap2:amd64 1:2.24-8
2017-05-09 16:18:18 status unpacked libcap2:amd64 1:2.24-8
2017-05-09 16:18:18 install libcap2-bin:amd64 <none> 1:2.24-8
2017-05-09 16:18:18 status half-installed libcap2-bin:amd64 1:2.24-8
2017-05-09 16:18:18 status unpacked libcap2-bin:amd64 1:2.24-8
2017-05-09 16:18:18 status unpacked libcap2-bin:amd64 1:2.24-8
2017-05-09 16:18:18 install libgcrypt20:amd64 <none> 1.6.3-2+deb8u2
2017-05-09 16:18:18 status half-installed libgcrypt20:amd64 1.6.3-2+deb8u2
2017-05-09 16:18:18 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-05-09 16:18:18 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-05-09 16:18:18 install libgpg-error0:amd64 <none> 1.17-3
2017-05-09 16:18:18 status half-installed libgpg-error0:amd64 1.17-3
2017-05-09 16:18:18 status unpacked libgpg-error0:amd64 1.17-3
2017-05-09 16:18:18 status unpacked libgpg-error0:amd64 1.17-3
2017-05-09 16:18:18 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2017-05-09 16:18:18 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2017-05-09 16:18:18 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-05-09 16:18:18 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-05-09 16:18:18 install libselinux1:amd64 <none> 2.3-2
2017-05-09 16:18:18 status half-installed libselinux1:amd64 2.3-2
2017-05-09 16:18:18 status unpacked libselinux1:amd64 2.3-2
2017-05-09 16:18:18 status unpacked libselinux1:amd64 2.3-2
2017-05-09 16:18:18 install libsemanage-common:all <none> 2.3-1
2017-05-09 16:18:18 status half-installed libsemanage-common:all 2.3-1
2017-05-09 16:18:18 status unpacked libsemanage-common:all 2.3-1
2017-05-09 16:18:18 status unpacked libsemanage-common:all 2.3-1
2017-05-09 16:18:18 install libsemanage1:amd64 <none> 2.3-1+b1
2017-05-09 16:18:18 status half-installed libsemanage1:amd64 2.3-1+b1
2017-05-09 16:18:18 status unpacked libsemanage1:amd64 2.3-1+b1
